keystroke_rate,avg_key_gap,cpu_usage,memory_usage,process_count,window_switches,label
3.1349744010128506,0.1434317906697591,31.6,50.2,439,0,1
0.3993735602729236,0.6959865093231201,31.0,51.7,442,0,1
0.0,0.0,44.7,53.4,443,0,1
0.0,0.0,22.0,53.3,445,0,1
0.0,0.0,21.9,54.3,446,0,1
0.0,0.0,37.5,54.6,448,1,1
0.0,0.0,32.9,55.0,449,2,1
0.0,0.0,16.8,54.3,453,3,1
0.0,0.0,8.8,54.2,451,4,1
0.0,0.0,12.8,54.6,454,5,1
0.19973145352387367,0.0,12.8,55.2,456,5,1
8.786965897791458,0.11479260200677915,16.1,56.1,459,6,1
5.765318500735271,0.08610907622746058,45.4,58.0,454,7,1
0.0,0.0,45.1,55.9,454,7,1
1.7976064509136527,0.5910045206546783,37.5,57.2,456,7,1
8.786111659930864,0.11368349541065305,44.9,57.8,461,8,1
6.190751150879469,0.16533149878184,39.0,58.7,463,9,1
4.593010019884366,0.22254937345331366,34.3,59.5,462,10,1
1.7968698003570345,0.4110143184661865,29.1,60.0,466,11,1
1.7965038816253236,0.29899585247039795,51.4,62.4,467,12,1
2.7878650914664544,0.32061054156376767,31.9,63.0,467,13,1
2.396641288401312,0.31635572693564673,23.0,63.0,469,14,1
0.0,0.0,18.3,62.7,465,15,1
0.799033875371085,0.08824300765991211,25.8,62.4,466,15,1
0.7986494776522645,0.13332366943359375,24.4,62.7,464,15,1
0.0,0.0,30.2,63.5,465,16,1
0.0,0.0,18.0,63.3,466,17,1
0.0,0.0,27.0,63.7,467,18,1
0.0,0.0,22.3,63.4,467,18,1
0.0,0.0,28.8,63.5,471,18,1
0.0,0.0,34.4,63.7,469,18,1
0.0,0.0,24.8,63.1,467,18,1
0.0,0.0,27.2,62.4,466,18,1
0.0,0.0,31.0,63.0,467,19,1
12.184218020519761,0.06735089619954428,14.7,62.9,472,20,1
3.7940923551671206,0.04403315650092231,16.8,63.3,468,20,1
0.0,0.0,30.9,63.1,469,20,1
0.0,0.0,27.2,62.3,471,21,1
0.0,0.0,41.3,68.0,475,22,1
3.5880673328370385,0.06557630090152516,54.9,71.8,477,22,1
0.0,0.0,52.7,72.9,476,22,1
0.0,0.0,53.3,74.5,478,22,1
0.0,0.0,46.5,74.4,478,22,1
0.39876407308642653,0.18398499488830566,32.0,74.0,479,22,1
0.0,0.0,45.2,72.8,481,23,1
0.0,0.0,55.8,62.0,480,24,1
0.0,0.0,43.0,64.1,482,24,1
0.0,0.0,39.9,68.1,483,24,1
1.3953284171032871,0.08406686782836914,44.7,66.3,483,24,1
5.547441208513145,0.033475282240887076,34.0,63.9,486,24,1
6.767335793617956,0.046015765931871205,33.0,63.8,485,24,1
10.574375990944937,0.04984939970621249,48.9,63.9,484,24,1
0.0,0.0,54.2,67.5,489,25,1
0.0,0.0,60.9,70.6,489,25,1
0.0,0.0,35.4,70.5,489,25,1
0.0,0.0,47.9,70.4,489,25,1
0.0,0.0,41.8,70.3,489,25,1
0.0,0.0,31.6,70.2,488,26,1
0.0,0.0,38.6,69.8,488,27,1
0.0,0.0,22.7,69.7,488,28,1
0.0,0.0,25.5,70.0,493,29,1
0.1996826732420379,0.0,25.6,66.7,487,30,1
